"Service","Relational Database Service($)","EC2-Other($)","EC2-Instances($)","VPC($)","WAF($)","Elastic Load Balancing($)","Registrar($)","S3($)","Route 53($)","CloudWatch($)","Tax($)","Key Management Service($)","Total costs($)"
"Service total","1973.6753743206","286.3283652879","250.0552534341","152.07260833","113.9999992632","97.7958525805","71","13.2388642325","6.1562032","0","0","0","2964.3225206488"
"2025-02-01","12.2549149769","1.6119681833","1.3824002546","0.84","0.678571416","0.5406296843","","0.0770035033","1.000564","0","0","","18.3860520184"
"2025-02-02","12.2563569942","1.6155758903","1.3826187777","0.84","0.678571416","0.5402281426","","0.0769514638","0.0007088","0","","","17.3910114846"
"2025-02-03","12.2558955658","1.6202141879","1.3825966941","0.84","0.678571416","0.5402139515","","0.0775402326","0.0010132","0","","","17.3960452479"
"2025-02-04","12.2559782264","1.6238486568","1.3831579444","0.84","0.678571416","0.5406001316","","0.0785347158","0.000856","0","","","17.401547091"
"2025-02-05","12.2538719294","1.6210578606","1.3827739485","0.84","0.678571416","0.5405819103","","0.0778748216","0.001064","0","","","17.3957958864"
"2025-02-06","12.2551696388","1.6223113703","1.3829384106","0.842119445","0.678571416","0.5405914646","","0.0781176976","0.0008888","0","","","17.4007082429"
"2025-02-07","12.2542429485","1.6219936556","1.3830303482","0.84","0.678571416","0.5403665471","","0.0782812816","0.00083","0","","","17.397316197"
"2025-02-08","12.2555016032","1.61820098","1.3824009023","0.84","0.678571416","0.5401045386","","0.0768474743","0.0005196","0","","","17.3921465144"
"2025-02-09","12.2555457506","1.6181527761","1.3824668949","0.84","0.678571416","0.5401181956","","0.0769391687","0.00046","0","","","17.3922542019"
"2025-02-10","12.2533912869","1.6213193427","1.3828612693","0.84","0.678571416","0.5402663466","","0.0779864082","0.0013628","0","","","17.3957588697"
"2025-02-11","12.2546466224","1.6202187548","1.3826654048","0.84","0.678571416","0.540199442","","0.077608051","0.0008904","0","","","17.394800091"
"2025-02-12","12.2543840213","1.6207659407","1.3829000331","0.84","0.678571416","0.5401572401","","0.0779575528","0.0009172","0","","","17.395653404"
"2025-02-13","12.255166426","1.6216384934","1.3831452179","0.841256945","0.678571416","0.5401411314","","0.0781533368","0.0009708","0","","","17.3990437665"
"2025-02-14","12.2568283398","1.6219941489","1.3827560293","0.84","0.678571416","0.5401100963","","0.0776784196","0.0010244","0","","","17.3989628499"
"2025-02-15","12.2550620445","1.6191615417","1.3824814778","0.84","0.678571416","0.5401420898","","0.0772310022","0.0008064","0","","","17.393455972"
"2025-02-16","12.2558082311","1.6179827524","1.3824","0.84085","0.678571416","0.5401336859","","0.0769336236","0.0006968","0","","","17.393376509"
"2025-02-17","12.2539772205","1.6196221343","1.3824406276","0.84","0.678571416","0.5401492288","","0.0775530484","0.0008288","0","","","17.3931424756"
"2025-02-18","9.1459556102","1.6208230435","1.3826173538","0.84","0.678571416","0.5401488556","","0.0784925351","0.000884","0","","0","14.2874928142"
"2025-02-19","0.4905969072","1.6207155656","1.3827413882","0.84","0.678571416","0.5401670953","","0.0778285096","0.0008872","0","","","5.6315080819"
"2025-02-20","0.4905969072","1.621342031","1.3828806626","0.84","0.678571416","0.5401439548","","0.0781120792","0.000792","0","","","5.6324390508"
"2025-02-21","0.4905969072","1.6194197918","1.3826707345","0.84","0.678571416","0.5401000535","","0.0774453903","0.000808","0","","","5.6296122933"
"2025-02-22","0.4905969072","1.6185516172","1.3830998542","0.840831945","0.678571416","0.5401243345","","0.0773818713","0.000724","0","","","5.6298819454"
"2025-02-23","0.4905969072","1.6184879992","1.3830744866","0.841259725","0.678571416","0.5496464077","","0.07785206","0.0023184","0","","","5.6418074017"
"2025-02-24","0.4905969072","1.6218212244","1.383415497","0.84","0.678571416","0.5423178073","","0.0789080468","0.0013724","0","","","5.6370032987"
"2025-02-25","3.4466397072","1.6227045787","1.3831492577","0.84","0.678571416","0.541250964","","0.078666792","0.0012372","0","","","8.5922199156"
"2025-02-26","12.2781027309","1.6216378313","1.3828945479","0.84","0.678571416","0.5409405846","","0.078420233","0.0010944","0","","","17.4216617437"
"2025-02-27","12.2803991072","1.6218280435","1.3830174525","0.84","0.678571416","0.5407607875","","0.0783902145","0.0010232","0","","","17.4239902212"
"2025-02-28","12.2782911072","1.6219287374","1.3828493361","0.84","0.678571416","0.5404097695","","0.0781998782","0.0010508","0","","","17.4213010444"
"2025-03-01","12.2701792544","1.5605544756","1.3763567837","0.84","0.6129032184","0.5414375832","71","0.0702004376","1.000734","0","0","","89.2723657529"
"2025-03-02","12.2714366544","1.5628584278","1.3825135904","0.84","0.6129032184","0.5406087301","","0.0702167373","0.0006884","0","","","17.2812257584"
"2025-03-03","12.2696908544","1.5692106213","1.3827758552","0.84","0.6129032184","0.5403958737","","0.0715280649","0.0011164","0","","","17.2876208879"
"2025-03-04","12.2719458544","1.5696818642","1.3827893477","0.84","0.6129032184","0.5401800682","","0.0705113913","0.0008772","0","","","17.2888889442"
"2025-03-05","12.2702114544","1.5707113801","1.3830524142","0.84127222","0.6129032184","0.5401678971","","0.0709622977","0.0010836","0","","","17.2903644819"
"2025-03-06","12.2712478544","1.5703859497","1.3832178258","0.84124861","0.6129032184","0.5401495188","","0.0711508025","0.0010804","0","","","17.2913841796"
"2025-03-07","12.2706572544","1.5697166533","1.3830981677","0.84","0.6129032184","0.5401677926","","0.0708158543","0.001178","0","","","17000.2885369407"
"2025-03-08","10.4715652144","1.567085598","1.3825932846","0.84","0.6129032184","0.5403498972","","0.0700537692","0.000876","0","","0","15.4854269818"
"2025-03-09","0.4826036544","1.5671325238","1.3825134197","0.84","0.6129032184","0.5401017426","","0.0700690947","0.000958","0","","","5.4962816536"
"2025-03-10","0.4826036544","1.5689260608","1.3827796892","0.84","0.6129032184","0.5402778811","","0.0709434885","0.0010504","0","","","5.4994843924"
"2025-03-11","0.4826036544","1.5690461455","1.3743585644","0.84","0.6129032184","0.540225064","","0.0708318497","0.0008636","0","","","5.4908320964"
"2025-03-12","0.4826036544","1.569801447","1.3829394606","0.84","0.6129032184","0.5401523663","","0.0711471949","0.000796","0","","","5.5003433416"
"2025-03-13","0.4826036544","1.5710450239","1.383150524","0.84","0.6129032184","0.5401166109","","0.071258586","0.000934","0","","","5.5020116176"
"2025-03-14","0.4826036544","1.5700826083","1.3830816022","0.84","0.6129032184","0.5405148099","","0.0711744646","0.0009512","0","","","5.5013115578"
"2025-03-15","2.1168375849","1.5666999421","1.3715913413","0.84","0.6129032184","0.5402711409","","0.0701648252","0.000682","0","","","7.1191500528"
"2025-03-16","12.2716040164","1.5666086416","1.3825134954","0.842111115","0.6129032184","0.5401297435","","0.0701250822","0.0005232","0","","","17.2865185125"
"2025-03-17","12.2704364544","1.5689286774","1.3827449348","0.84","0.6129032184","0.5401415207","","0.0707176223","0.0006908","0","","","17.286563228"
"2025-03-18","12.2698814544","1.5704970492","1.3828660181","0.84","0.6129032184","0.540217775","","0.0707076383","0.0009176","0","","","17.2879907534"
"2025-03-19","12.2704930544","1.5701353694","1.3827109431","0.84","0.6129032184","0.5401191134","","0.0707456647","0.0007736","0","","","17.2878809634"
"2025-03-20","12.2711774544","1.5720574615","1.3832747171","0.84","0.6129032184","0.5401647022","","0.0714746523","0.0009204","0","","","17.2919726059"
"2025-03-21","12.2710258544","1.5697022432","1.3829419","0.84","0.6129032184","0.5403056212","","0.0712835039","0.0012148","0","","","17.2893771411"
"2025-03-22","12.2706810544","1.5666660542","1.3825252039","0.84","0.6129032184","0.5401001237","","0.0701365848","0.0007504","0","","","17.2837626394"
"2025-03-23","12.2706986544","1.5666189412","1.3825135435","0.84","0.6129032184","0.540116296","","0.0702361623","0.000578","0","","","17.2836648158"
"2025-03-24","12.2719450544","1.568943978","1.3827775283","0.84","0.6129032184","0.5401737659","","0.071332476","0.0010476","0","","","17.289123621"
"2025-03-25","12.2707126544","1.5707319617","1.3828008015","0.84","0.6129032184","0.5401180389","","0.0709119055","0.0007988","0","","","17.2889773804"
"2025-03-26","12.2705076544","1.571745618","1.3832048493","0.84","0.6129032184","0.5401577608","","0.0715847747","0.0010356","0","","","17.2911394756"
"2025-03-27","12.2693998544","1.569847751","1.3830783293","0.84","0.6129032184","0.5401126468","","0.0716287119","0.000818","0","","","17.2877885118"
"2025-03-28","12.2715130544","1.5704252727","1.3830817756","0.84","0.6129032184","0.5401078683","","0.0713924438","0.000914","0","","","17.2903376332"
"2025-03-29","12.2704802544","1.566603664","1.3801521132","0.84","0.6129032184","0.5401077268","","0.0703258453","0.000514","0","","","17.2810868221"
"2025-03-30","12.2704500544","1.5665491494","1.382513505","0.84","0.6129032184","0.540134231","","0.0705055308","0.0004976","0","","","17.283553289"
"2025-03-31","12.2716844544","1.5702383914","1.3831434259","0.84","0.6129032184","0.5402027402","","0.0715546419","0.0008628","0","","","17.2905896722"
"2025-04-01","12.2721200456","1.5765693048","1.3828892554","0.84","0.6333333384","0.5401066985","","0.0733430261","1.0010728","0","0","","18.3194344688"
"2025-04-02","12.2735110456","1.5874945104","1.3831881311","0.84","0.6333333384","0.5400828574","","0.0734403677","0.0026804","0","","","17.3337306506"
"2025-04-03","12.2738278456","1.5861661308","1.3830374851","0.84","0.6333333384","0.5401093092","","0.073935082","0.0010148","0","","","17.3314239911"
"2025-04-04","12.2734192456","1.5855527573","1.3744689435","0.841254165","0.6333333384","0.5402590864","","0.0733980346","0.0008608","0","","","17.3225463708"
"2025-04-05","12.2732620456","1.5832768593","1.3830609598","0.842580555","0.6333333384","0.5414009052","","0.0729948411","0.0005724","0","","","17.3304819044"
"2025-04-06","12.2728151848","1.5831312116","1.3825135505","0.84","0.6333333384","0.5408648787","","0.0730845792","0.000512","0","","","17.3262547432"
"2025-04-07","12.2730695848","1.5839504221","1.3825942613","0.84","0.6333333384","0.5414437094","","0.0734957024","0.0006356","0","","","17.3285226184"
"2025-04-08","12.2732793848","1.5850981409","1.3827646782","0.84","0.6333333384","0.5408781709","","0.0731975714","0.0008052","0","","","17.3293564846"
"2025-04-09","12.2729627848","1.5857461038","1.3800406445","0.84","0.6333333384","0.5430287421","","0.073692241","0.0007032","0","","","17.3295070546"
"2025-04-10","12.2738259848","1.5861463164","1.3832335102","0.84","0.6333333384","0.5408037263","","0.0744457506","0.0009764","0","","","17.3327650267"
"2025-04-11","12.2736153848","1.585801579","1.36978374","0.84","0.6333333384","0.5401529456","","0.0740647961","0.0008008","0","","","17.3175525839"
"2025-04-12","12.2728955848","1.5834039489","1.3719609712","0.84","0.6333333384","0.5401474636","","0.0730058842","0.0006328","0","","","17.3153799911"
"2025-04-13","12.2731597848","1.5830596026","1.3774214684","0.84","0.6333333384","0.5401482897","","0.0727908759","0.0007932","0","","","17.3207065598"
"2025-04-14","12.2727571848","1.5838463105","1.3826601904","0.8408375","0.6333333384","0.5401327693","","0.0732289014","0.0007276","0","","","17.3275237948"
"2025-04-15","12.2726417848","1.5848517956","1.3830972829","0.84","0.6333333384","0.5401357397","","0.0731853099","0.0007744","0","","","17.3280196513"
"2025-04-16","12.2748057893","1.5855373839","1.3828770033","0.84","0.6333333384","0.5400840409","","0.0731880925","0.0008452","0","","","17.3306708483"
"2025-04-17","12.2738138008","1.587041389","1.3831117335","0.84","0.6333333384","0.540158811","","0.0738995704","0.0008308","0","","","17.3321894431"
"2025-04-18","12.2732618221","1.5851327852","1.3829468753","0.84086389","0.6333333384","0.5400933344","","0.0734447614","0.0008496","0","","","17.3299264068"
"2025-04-19","12.2732234701","1.5836941427","1.3825135501","0.84","0.6333333384","0.5400818596","","0.0727278449","0.0005772","0","","","17.3261514058"
"2025-04-20","12.2743015265","1.5825427304","1.3825089394","0.84","0.6333333384","0.5401557642","","0.072518029","0.0004812","0","","","17.3258415279"
"2025-04-21","12.2732010298","1.5863495365","1.3733946753","0.84","0.6333333384","0.5400961382","","0.0732410639","0.0008092","0","","","17.3204249821"
"2025-04-22","12.2740005689","1.5844060414","1.3744012732","0.84","0.6333333384","0.5401660632","","0.0732848907","0.0008456","0","","","17.3204377758"
"2025-04-23","12.2745408843","1.5846200541","1.3827666499","0.84","0.6333333384","0.5401181254","","0.0733259417","0.0010108","0","","","17.3297157938"
"2025-04-24","12.2766590012","1.5863263715","1.3730315113","0.84","0.6333333384","0.5401141518","","0.0735707622","0.0009644","0","","","17.3239995364"
"2025-04-25","12.2750849109","1.5847354898","1.3828905131","0.84","0.6333333384","0.5400912582","","0.0731850361","0.0011032","0","","","17.3304237465"
"2025-04-26","12.2730462408","1.5826427388","1.3707778692","0.84","0.6333333384","0.5401685209","","0.0726776362","0.0008524","0","","","17.3134987443"
"2025-04-27","12.2779132855","1.5829398077","1.3825163731","0.84","0.6333333384","0.5401041856","","0.0728335028","0.0007728","0","","","17.3304132931"
"2025-04-28","12.2744648126","1.5843040979","1.3827157174","0.840858335","0.6333333384","0.5401007425","","0.0733506979","0.0009876","0","","","17.3301153417"
"2025-04-29","12.2740232552","1.5844090276","1.3827521431","0.84","0.6333333384","0.540092731","","0.0734482515","0.0009184","0","","","17.3289771468"
"2025-04-30","12.2751338254","1.585617637","1.3831256848","0.840865275","0.6333333384","0.5404741959","","0.0735385439","0.0008612","0","","","17.3329497004"
"2025-05-01","12.2722041296","1.5604967753","1.3791198588","0.84","0.6129032184","0.5406060011","","0.0714396066","1.0008828","0","0","","18.2776523898"
"2025-05-02","12.2727351721","1.5673828343","1.366153501","0.84","0.6129032184","0.5400919256","","0.0708650224","0.0008244","0","","","17.2709560738"
"2025-05-03","12.2733577422","1.566980713","1.3825901066","0.84","0.6129032184","0.5400899712","","0.0704884084","0.0006516","0","","","17.2870617598"
"2025-05-04","12.2749450473","1.5673671238","1.3826150759","0.84","0.6129032184","0.5401099665","","0.0706398426","0.0005308","0","","","17.2891110745"
"2025-05-05","12.2727835155","1.5682794221","1.3647444327","0.84","0.6129032184","0.5400904242","","0.0708480643","0.0009436","0","","","17.2705926772"
"2025-05-06","12.272988763","1.5705828298","1.3828285926","0.84","0.6129032184","0.540131987","","0.0713818803","0.0008836","0","","","17.2917008711"
"2025-05-07","12.2735673604","1.5697271909","1.3723529394","0.84","0.6129032184","0.5401718908","","0.0712525783","0.0008132","0","","","17.2807883782"
"2025-05-08","12.2754289516","1.5705480012","1.3831527304","0.84","0.6129032184","0.5402134653","","0.0720392975","0.0008676","0","","","17.2951532644"
"2025-05-09","12.2723932396","1.570755878","1.3831792825","0.84","0.6129032184","0.5401810264","","0.0716365325","0.000946","0","","","17.2919951774"
"2025-05-10","12.2740463911","1.5669341757","1.3826181773","0.84","0.6129032184","0.5401181324","","0.070657274","0.0006456","0","","","17.2879229689"
"2025-05-11","12.2755182312","1.5664718189","1.3825134168","0.84","0.6129032184","0.5402171861","","0.0706324492","0.000582","0","","","17.2888383206"
"2025-05-12","12.2748560161","1.5694527373","1.3766109961","0.841230555","0.6129032184","0.5401178255","","0.0719838777","0.0010832","0","","","17.2882384261"
"2025-05-13","12.2754584118","1.5700383706","1.3827795751","0.84207639","0.6129032184","0.5401073519","","0.0713359064","0.0008628","0","","","17.2955620242"
"2025-05-14","12.2754031629","1.5718125735","1.383168312","0.84","0.6129032184","0.5401497906","","0.0721616066","0.0009276","0","","","17.296526264"
"2025-05-15","12.2746431378","1.5697415585","1.3829799176","0.84","0.6129032184","0.5401008671","","0.0716045373","0.0008196","0","","","17.2927928367"
"2025-05-16","12.277088916","1.5701197833","1.3830563324","0.84","0.6129032184","0.5400898654","","0.0714226301","0.000912","0","","","17.2955927456"
"2025-05-17","12.2754163212","1.5666278154","1.3825147439","0.84","0.6129032184","0.5400900439","","0.0706446349","0.0006216","0","","","17.2888183777"
"2025-05-18","12.2761500429","1.5665863412","1.3825134145","0.84","0.6129032184","0.54009758","","0.0706533446","0.0005064","0","","","17.2894103416"
"2025-05-19","12.2759281189","1.5697554241","1.3829241297","0.84","0.6129032184","0.5401133018","","0.071213718","0.0007908","0","","","17.2936287109"
"2025-05-20","12.2743260943","1.568593629","1.3826984007","0.84","0.6129032184","0.5400911549","","0.0710129186","0.0007024","0","","","17.2903278159"
"2025-05-21","12.2771156655","1.572356538","1.383149327","0.84","0.6129032184","0.5400863059","","0.0719438462","0.0009452","0","","","17.298500101"
"2025-05-22","12.2767695619","1.5693227033","1.3829130934","0.8408375","0.6129032184","0.5401427532","","0.0715011386","0.00076","0","","","17.2951499688"
"2025-05-23","12.2774462059","1.5700423683","1.3828561655","0.84128472","0.6129032184","0.5401291059","","0.0716045802","0.0008516","0","","","17.2971179642"
"2025-05-24","12.2754772917","1.5676794292","1.3825682081","0.84","0.6129032184","0.540181657","","0.0713218019","0.0006804","0","","","17.2908120063"
"2025-05-25","12.2781169553","1.5665331831","1.3786451657","0.84","0.6129032184","0.541018727","","0.0710306142","0.0006876","0","","","17.2889354637"
"2025-05-26","12.2768319829","1.5665659971","1.3825135888","0.84","0.6129032184","0.5402188664","","0.0710109906","0.0006668","0","","","17.2907114442"
"2025-05-27","12.2758258584","1.5691755082","1.3827790999","0.84","0.6129032184","0.5401502985","","0.0714575358","0.0007224","0","","","17.2930139192"
"2025-05-28","12.2774141444","1.5694264932","1.3829133819","0.84","0.6129032184","0.5401593459","","0.0714945792","0.0007872","0","","","17.295098363"
"2025-05-29","12.2756764146","1.5694691953","1.3830065339","0.84","0.6129032184","0.5402947974","","0.0719612527","0.001028","0","","","17.2943394123"
"2025-05-30","12.2772126982","1.5702347631","1.383182389","0.84","0.6129032184","0.5406758616","","0.0721029995","0.001094","0","","","17.2974059298"
"2025-05-31","12.2768858379","1.5667426129","1.3825841611","0.84","0.6129032184","0.5402047946","","0.0709674078","0.0006764","0","","","17.2909644327"
"2025-06-01","12.2795620596","1.5764873818","1.3825138491","0.84","0.6333333384","0.5401462207","","0.0730440886","1.0005736","0","0","","18.3256605382"
"2025-06-02","12.2801228229","1.581476584","1.382775952","0.84","0.6333333384","0.5401943705","","0.073859644","0.0011068","0","","","17.3328695118"
"2025-06-03","12.2792541471","1.5853960337","1.3754198204","0.84","0.6333333384","0.5401838311","","0.0739409778","0.0007908","0","","","17.3283189485"
"2025-06-04","12.2811218715","1.5866910854","1.3835283018","0.84","0.6333333384","0.5409942855","","0.0749379699","0.0007568","0","","","17.3413636525"
"2025-06-05","12.2799976456","1.5864408585","1.3831073296","0.84","0.6333333384","0.5401488121","","0.0742028603","0.0008156","0","","","17.3380464445"
"2025-06-06","12.280884216","1.5859949144","1.3830491175","0.84086111","0.6333333384","0.5401729151","","0.0742006653","0.0007056","0","","","17.3392018767"
"2025-06-07","12.2823984601","1.5834089193","1.3825480086","0.84","0.6333333384","0.5401559779","","0.0731227962","0.0005344","0","","","17.3355019005"
"2025-06-08","12.2803608235","1.5825511838","1.3823345186","0.841704165","0.6333333384","0.5407040237","","0.0732182787","0.0005112","0","","","17.3347175317"
"2025-06-09","12.2808843782","1.5850802663","1.3732333535","0.84","0.6333333384","0.540120474","","0.0736867209","0.00062","0","","","17.3269585313"
"2025-06-10","12.2796704283","1.586519138","1.382925078","0.84","0.6333333384","0.5400910479","","0.074151536","0.0008096","0","","","17.3375001666"
"2025-06-11","12.2812343837","1.5859261962","1.3831337925","0.84","0.6333333384","0.5400875213","","0.0745723556","0.0009304","0","","","17.3392179877"
"2025-06-12","0.9740360839","1.5855152476","1.3830593279","0.84","0.6333333384","0.5401337655","","0.074408197","0.0008484","0","","0","6.0313343603"
"2025-06-13","0.4938286481","1.5851217901","1.3830116787","0.84","0.6333333384","0.5400862846","","0.0739539353","0.0009144","0","","","5.5502500752"
"2025-06-14","0.493932374","1.5825882877","1.3825137233","0.84","0.6333333384","0.5401435911","","0.0732074058","0.0006184","0","","","5.5463371203"
"2025-06-15","0.4939311499","1.5826893292","1.3825132919","0.84","0.6333333384","0.5400968871","","0.073199527","0.0004996","0","","","5.5462631235"
"2025-06-16","0.4937628047","1.5849710348","1.3827885293","0.84","0.6333333384","0.5400866631","","0.0742262061","0.0007876","0","","","5.5499561764"
"2025-06-17","0.4936814991","1.585732252","1.3828634473","0.84","0.6333333384","0.5400989744","","0.0740169457","0.0008448","0","","","5.5505712569"
"2025-06-18","0.4939714161","1.5876270743","1.3835023443","0.84","0.6333333384","0.5400989265","","0.0749890669","0.00086","0","","","5.5543821665"
"2025-06-19","11.6226186286","1.5837215815","1.3826672296","0.84","0.6333333384","0.5401142852","","0.0738511422","0.0008172","0","","","16.6771234055"
"2025-06-20","12.2821379242","1.5860864811","1.3831642845","0.84085972","0.6333333384","0.540083247","","0.074080793","0.0009504","0","","","17.3406961882"
"2025-06-21","12.2822162385","1.5841892059","1.3746802984","0.84","0.6333333384","0.5400770238","","0.0737278988","0.0007532","0","","","17.3289772038"
"2025-06-22","12.2826495099","1.5825670466","1.3825158763","0.8408375","0.6333333384","0.5401037838","","0.0734800412","0.000708","0","","","17.3361950962"
"2025-06-23","12.2838528469","1.5854274138","1.3827148238","0.84","0.6333333384","0.5401168466","","0.0738910018","0.0009756","0","","","17.3403118713"
"2025-06-24","12.2826791592","1.5845957838","1.3668861927","0.84","0.6333333384","0.5401926934","","0.0773534173","0.0009072","0","","","17.3259477848"
"2025-06-25","12.2817944046","1.5877205275","1.383157107","0.84","0.6333333384","0.5401069931","","0.0741221078","0.0009748","0","","","17.3412092784"
"2025-06-26","12.2836341102","1.5870335594","1.3833099686","0.84","0.6333333384","0.5400843192","","0.0747066132","0.001194","0","","","17.343295909"
"2025-06-27","12.2837022776","1.5856309291","1.3829224249","0.84","0.6333333384","0.5400781195","","0.074139362","0.0010664","0","","","17.3408728515"
"2025-06-28","12.2825009662","1.5829255106","1.3825911134","0.84","0.6333333384","0.5400852732","","0.0735514626","0.0006584","0","","","17.3356460644"
"2025-06-29","12.2848341548","1.5824796027","1.3825132037","0.84","0.6333333384","0.5401051481","","0.0735197786","0.0007456","0","","","17.3375308263"
"2025-06-30","12.2833906388","1.5853383555","1.3827546841","0.84","0.6333333384","0.5401155247","","0.0741020726","0.0008236","0","","","17.3398582141"
"2025-07-01","12.2795460764","1.5605198275","1.38268175","0.84","0.6129032184","0.5401003981","","0.0716321527","1.0012076","0","0","","18.2885910231"
"2025-07-02","12.2816524679","1.568309532","1.383023743","0.84212083","0.6129032184","0.5408482668","","0.0721598756","0.0011252","0","","","17.3021431337"
"2025-07-03","12.2817024854","1.5705939306","1.3718069234","0.84","0.6129032184","0.5401580215","","0.0724061265","0.0009392","0","","","17.2905099058"
"2025-07-04","12.280495272","1.5680644608","1.3828556764","0.840868055","0.6129032184","0.5401091677","","0.0715710517","0.0011336","0","","","17.298000502"
"2025-07-05","12.2809935163","1.5666975689","1.3825135754","0.84","0.6129032184","0.5401948509","","0.0712985997","0.0009268","0","","","17.2955281296"
"2025-07-06","12.2811151289","1.5666185271","1.3825134112","0.84","0.6129032184","0.5400988953","","0.0711538586","0.000722","0","","","17.2951250395"
"2025-07-07","12.2810583834","1.5691129011","1.3828396158","0.84","0.6129032184","0.5401261052","","0.0719601859","0.0010248","0","","","17.2990252098"
"2025-07-08","12.2818939059","1.570570435","1.3828502548","0.84","0.6129032184","0.5401589429","","0.0720649685","0.0008476","0","","","17.3012893255"
"2025-07-09","12.2817711126","1.571333198","1.3829586697","0.84","0.6129032184","0.5401392169","","0.0721626515","0.0010068","0","","","17.3022748671"
"2025-07-10","12.2804436909","1.5717902599","1.3836030223","0.84","0.6129032184","0.5400787971","","0.0727463651","0.000834","0","","","17.3023993537"
"2025-07-11","12.2827621834","1.5710977625","1.3832234411","0.84","0.6129032184","0.5401294974","","0.0723388433","0.000876","0","","","17.3033309461"
"2025-07-12","12.2818391395","1.5671051331","1.379083988","0.84","0.6129032184","0.5401535465","","0.0714897318","0.0006788","0","","","17.2932535573"
"2025-07-13","12.2825999939","1.5665878529","1.3825133672","0.84","0.6129032184","0.540158898","","0.0712753365","0.0006344","0","","","17.2966730669"
"2025-07-14","12.2818364674","1.5690299026","1.3828243577","0.84","0.6129032184","0.5401143004","","0.0722761379","0.0009868","0","","","17.2999711844"
"2025-07-15","12.2828997976","1.5692071277","1.3827744","0.84","0.6129032184","0.5402553642","","0.0720702184","0.0007704","0","","","17.3008805263"
"2025-07-16","12.2825590471","1.5698424472","1.3757580213","0.84","0.6129032184","0.5401086704","","0.072246036","0.0008868","0","","","17.2943042404"
"2025-07-17","12.2828891484","1.5711018229","1.383225653","0.84","0.6129032184","0.5401647761","","0.0726972609","0.0010496","0","","","17.3040314797"
"2025-07-18","12.2829238041","1.5695071891","1.3830152523","0.84","0.6129032184","0.5401317171","","0.0722567788","0.0008904","0","","","17.3016283598"
"2025-07-19","12.2836775297","1.5668449534","1.3825707195","0.84","0.6129032184","0.5401026588","","0.0713337372","0.0007484","0","","","17.298181217"
"2025-07-20","12.2828180359","1.5665451121","1.3825132395","0.84","0.6129032184","0.5401206266","","0.071358924","0.0006728","0","","","17.2969319565"
"2025-07-21","12.2827778898","1.5698785252","1.3828483342","0.840861115","0.6129032184","0.5401482107","","0.0721700582","0.0012168","0","","","17.3028041515"
"2025-07-22","12.2811962167","1.5687171112","1.3827828634","0.84","0.6129032184","0.5400921014","","0.0717641435","0.0007204","0","","","17.2981760546"
"2025-07-23","12.2829133671","1.5698633006","1.3748078451","0.84","0.6129032184","0.5401004631","","0.0724480658","0.0009288","0","","","17.2939650601"
"2025-07-24","12.283286558","1.5708791628","1.382952601","0.840856945","0.6129032184","0.5400932214","","0.0721819784","0.000954","0","","","17.304107685"
"2025-07-25","12.2835918947","1.5700125237","1.3831965917","0.84","0.6129032184","0.5400762998","","0.0725702985","0.0010156","0","","","17.3033664268"
"2025-07-26","12.2831009061","1.5666376068","1.3825145348","0.84","0.6129032184","0.5400678759","","0.0713548911","0.0007152","0","","","17.2972942331"
"2025-07-27","12.2828614603","1.5671472475","1.3826446944","0.84","0.6129032184","0.5401480266","","0.0717756035","0.0005624","0","","","17.2980426507"
"2025-07-28","12.28252748","1.5702795973","1.3829918032","0.84","0.6129032184","0.5400926863","","0.0725122923","0.0009392","0","","","17.3022462775"
"2025-07-29","12.2823811796","1.5699384831","1.3830532613","0.84","0.6129032184","0.540088279","","0.0725317002","0.0012208","0","","","17.3021169216"
"2025-07-30","12.2830996614","1.5710200041","1.3831642434","0.84","0.6129032184","0.5400905512","","0.0725338297","0.0009092","0","","","17.3037207082"
"2025-07-31","12.2810694957","1.5708541128","1.383078513","0.84","0.6129032184","0.5400857392","","0.0726276858","0.0006672","0","","","17.3012859649"